Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000022704	8	5	5	4	1	0	1	1	0	2	3	7	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000022706	9	8	13	9	6	2	11	6	4	3	24	32	14	3	11	1	6	7	1	5	1	6	9
ENSMUSG00000022707	25	17	28	15	1	1	3	1	4	1	14	17	9	6	12	3	6	5	0	0	1	7	2
ENSMUSG00000022708	16	12	20.97	14	3.37	0	3.37	1	13.45	14.22	20	36.09	13.23	15	14.51	0	6	2.24	0	1	7	22.36	18.79
ENSMUSG00000022710	124	73	155	93	2	3	11	2	12	41	68	128	48	28	119	11	11	17	0	2	18	41	12
ENSMUSG00000022711	27	35	52	33	2	2	8	5	27	30	43	85	72	27	40	3	18	23	0	5	21	46	24
ENSMUSG00000022718	8.75	8.5	7.07	3.5	0.5	0	0.99	0	0.5	3.26	7	13.67	2	3	5.8	0	0.68	3	0	0	1	1.46	0.5
ENSMUSG00000022721	16.05	10.5	18.73	20	0.5	1	4.22	0	7.5	12.81	18.5	30.76	6.39	8	7.46	1	1.96	2.5	0	0	2.53	1.51	8.5
ENSMUSG00000022722	1	1	2	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000022723	27.62	14.35	21.57	4.41	0	0	1.87	0	1.11	7	7.77	12.5	5.95	4.22	33	2	1.41	4.8	0	0	1.28	8.7	2
ENSMUSG00000022724	24.38	12.65	20.43	19.59	1	1	2.13	4	4.89	11	11.23	22.5	9.05	5.78	1	1	2.59	6.2	0	0	3.72	5.3	2
ENSMUSG00000022742	27	20	23	25	7	1	6	0	6	19	19	16	18	8	9	2	13	41	1	4	12	10	27
ENSMUSG00000022744	44	24	31	36	1	0	7	6	7	10	24	68	6	10	56	3	8	6	3	0	5	8	4
ENSMUSG00000022747	54	57	51.59	33	25	12	26	2	9	9	32	45	13	17	29	5	14	33	0	4	6	27	9
ENSMUSG00000022748	2	0	0	1	0	0	2	0	1	3	0	2	2	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000022749	44	20	49	12	0	2	5	1	0	9	9	27	4	4	49	2	2	2	0	0	1	6	2
ENSMUSG00000022750	12	6	7	7	0	0	1	0	2	5	12	5	4	5	5	0	1	4	0	3	1	5	3
ENSMUSG00000022751	7	6	5	9	3	4	0	1	1	4	11	15	4	1	4	0	0	1	0	1	0	9	2
ENSMUSG00000022752	45	27	56	37	2	7	27	4	15	22	56	80	39	19	42	1	13	12	0	2	5	15	12
ENSMUSG00000022754	1	0	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	1	0	0	0	0	0
